Date,open,high,low,close,volume,adjusted_close
1992-06-23,3.250,3.250,3.250,3.250,200,2.268
1992-06-24,3.375,3.375,3.375,3.375,500,2.355
1992-06-25,3.250,3.625,3.250,3.500,3500,2.443
1992-06-26,3.375,3.375,3.250,3.250,1000,2.268
1992-06-29,3.375,3.375,3.375,3.375,1900,2.355
1992-06-30,3.500,3.500,3.500,3.500,100,2.443
1992-07-01,3.500,3.625,3.500,3.625,5000,2.530
1992-07-02,3.625,3.750,3.625,3.750,5300,2.617
1992-07-06,3.750,3.750,3.750,3.750,2700,2.617
1992-07-07,3.625,3.750,3.625,3.750,2000,2.617
1992-07-08,3.625,3.750,3.625,3.750,1500,2.617
1992-07-09,3.625,3.625,3.500,3.625,1400,2.530
1992-07-10,3.625,3.625,3.625,3.625,500,2.530
1992-07-13,3.750,3.750,3.750,3.750,100,2.617
1992-07-14,3.750,3.750,3.625,3.625,3100,2.530
1992-07-15,3.750,3.750,3.750,3.750,2000,2.617
1992-07-16,3.750,3.750,3.750,3.750,2300,2.617
1992-07-17,3.625,3.625,3.625,3.625,600,2.530
1992-07-20,3.625,3.625,3.625,3.625,100,2.530
1992-07-21,3.625,3.625,3.500,3.500,3900,2.443
1992-07-22,3.500,3.750,3.500,3.625,2200,2.530
1992-07-23,3.750,3.750,3.750,3.750,100,2.617
1992-07-24,3.750,3.750,3.750,3.750,100,2.617
1992-07-27,3.875,3.875,3.875,3.875,100,2.704
1992-07-28,3.875,4.000,3.875,4.000,14200,2.791
1992-07-29,4.000,4.000,3.875,3.875,5100,2.704
1992-07-30,3.875,3.875,3.875,3.875,2000,2.704
1992-07-31,3.750,3.750,3.750,3.750,1000,2.617
1992-08-03,3.750,3.750,3.750,3.750,500,2.617
1992-08-04,3.625,3.750,3.625,3.750,7400,2.617
1992-08-05,3.750,3.750,3.750,3.750,2100,2.617
1992-08-06,3.750,3.750,3.625,3.625,5000,2.530
1992-08-07,3.750,3.750,3.750,3.750,100,2.617
1992-08-10,3.750,3.750,3.625,3.625,2600,2.530
1992-08-11,3.625,3.625,3.625,3.625,500,2.530
1992-08-12,3.750,3.750,3.750,3.750,600,2.617
1992-08-13,3.625,5.625,3.625,5.625,78100,3.926
1992-08-14,5.750,5.750,4.875,5.000,55300,3.489
1992-08-17,5.000,5.250,5.000,5.000,27400,3.489
1992-08-18,5.000,5.000,4.875,5.000,3700,3.489
