Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Volume,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price,Alpha for Beta Plus Minus,Price to Sales Ratio,News Sentiment - Daily Average,Twitter Sentiment Daily Average,Book Value per Share,EBITDA,Quick Ratio,Profit Margin,Return on Invested Capital,Total Debts to Total Capital
3/14/2013,15.03,31.5034,4185123,146.3274,15.0799,14.86,14.7434,86.2197,73.4632,16738862080,0.0458,0.7979,15.03,0.1201,3.2917,,,,,,,,
3/15/2013,14.65,32.4015,12516822,140.0996,15.02,14.57,14.7734,26.2029,67.3309,16315658240,0.0403,0.7987,14.65,0.1122,3.2093,0.0202,,,,,,,
3/18/2013,14.37,33.0656,7492259,138.6246,14.54,14.2,14.7739,14.8092,63.3029,16003822592,0.0414,0.7968,14.37,0.1143,3.2572,,,,,,,,
3/19/2013,14.01,33.81,10076054,132.6465,14.4125,13.97,14.7179,8.0547,58.6373,15602891776,0.0362,0.7972,14.01,0.1131,3.2207,,,,,,,,
3/20/2013,14.219,33.5792,9771638,136.1171,14.3,14.03,14.6748,34.1928,60.3906,15835654144,0.0381,0.7978,14.219,0.1158,3.2849,0.0309,,,,,,,
3/21/2013,14.06,33.7425,8257542,133.4768,14.3,14.06,14.5838,25.8175,58.4411,15658576896,0.0369,0.7983,14.06,0.1142,3.2872,,,,,,,,
3/22/2013,14.34,33.4568,8200155,138.1264,14.42,14.07,14.5338,54.9596,60.7494,15970411520,0.0395,0.7993,14.34,0.1146,3.3124,,,,,,,,
3/25/2013,14.35,33.3002,3784313,138.2924,14.43,14.16,14.4868,55.8879,60.8298,15981548544,0.038,0.7986,14.35,0.1148,3.3169,,,,,,,,
3/26/2013,14.46,33.191,3214233,140.1191,14.51,14.23,14.4468,67.0827,61.7218,16104055808,0.0383,0.7988,14.46,0.1155,3.2316,,,,,,,,
3/27/2013,14.48,33.1791,5114005,140.4512,14.53,14.21,14.3969,69.2135,61.885,16126328832,0.0386,0.7988,14.48,0.1155,3.2316,,,10.3276,694000000,2.5566,34.4411,10.7975,0
3/28/2013,14.57,33.091,3323833,141.9457,14.58,14.3,14.3509,78.575,62.627,16226562048,0.0391,0.7989,14.57,0.116,3.2028,,,,,,,,
4/1/2013,14.44,33.6487,2651220,139.787,14.61,14.35,14.3299,47.3675,60.8567,16081781760,0.0398,0.7999,14.44,0.1205,3.2671,,,,,,,,
4/2/2013,14.73,33.3647,5013370,144.6026,14.8,14.44,14.3659,77.4011,63.2538,16404753408,0.0431,0.8006,14.73,0.1194,3.2227,,,,,,,,
4/3/2013,14.53,33.6211,4101467,141.2815,14.8,14.46,14.4179,48.6706,60.6059,16182013952,0.0417,0.8013,14.53,0.1182,3.2205,,,,,,,,
4/4/2013,14.52,33.631,3422455,141.1154,14.58,14.27,14.448,47.3523,60.475,16170876928,0.0409,0.8012,14.52,0.1188,3.2005,,,,,,,,
4/5/2013,14.43,33.7204,3453807,139.6209,14.455,14.14,14.485,34.6738,59.2825,16070644736,0.041,0.8013,14.43,0.1169,3.2515,,,,,,,,
4/8/2013,14.66,33.5437,3719378,143.4402,14.68,14.39,14.517,67.7619,61.2999,16326795264,0.0398,0.8013,14.66,0.1161,3.2538,,,,,,,,
